n a s aPP aPN aNP sP freq
1 0 1 0 0 0 0 294
1 0 1 0 0 0 1 2
1 1 0 0 0 0 0 1061
1 1 0 1 0 0 0 4
1 1 0 0 1 0 0 1
1 1 0 0 0 1 0 14
2 0 1 0 0 0 0 348
2 0 1 0 0 0 1 2
2 0 2 0 0 0 0 383
2 0 2 0 0 0 1 1
2 0 2 0 0 0 2 1
2 1 0 0 0 0 0 299
2 1 1 0 0 0 0 248
2 1 1 1 0 0 0 1
2 1 1 0 0 1 0 5
2 1 1 0 0 0 1 3
2 1 1 1 0 0 1 1
2 2 0 0 0 0 0 1891
2 2 0 1 0 0 0 6
2 2 0 0 1 0 0 2
2 2 0 0 0 1 0 27
2 2 0 2 0 0 0 2
2 2 0 1 1 0 0 1
2 2 0 0 1 1 0 1
2 2 0 0 0 2 0 1
3 0 1 0 0 0 0 201
3 0 1 0 0 0 1 3
3 0 2 0 0 0 0 106
3 0 2 0 0 0 1 3
3 0 2 0 0 0 2 1
3 0 3 0 0 0 0 48
3 0 3 0 0 0 1 1
3 0 3 0 0 0 3 1
3 1 0 0 0 0 0 119
3 1 0 0 0 1 0 1
3 1 1 0 0 0 0 70
3 1 1 0 0 1 0 2
3 1 1 1 0 0 1 1
3 1 1 0 0 1 1 1
3 1 2 0 0 0 0 36
3 1 2 0 0 0 1 1
3 2 0 0 0 0 0 344
3 2 0 1 0 0 0 2
3 2 0 0 1 0 0 1
3 2 0 0 0 1 0 7
3 2 0 2 0 0 0 1
3 2 1 0 0 0 0 119
3 2 1 0 0 1 0 2
3 3 0 0 0 0 0 305
3 3 0 0 1 0 0 2
3 3 0 0 0 1 0 5
3 3 0 1 0 1 0 1
3 3 0 0 0 2 0 1
4 0 1 0 0 0 0 159
4 0 1 0 0 0 1 2
4 0 2 0 0 0 0 95
4 0 3 0 0 0 0 26
4 0 4 0 0 0 0 22
4 1 0 0 0 0 0 89
4 1 1 0 0 0 0 61
4 1 1 0 0 1 0 1
4 1 2 0 0 0 0 11
4 1 3 0 0 0 0 19
4 2 0 0 0 0 0 288
4 2 0 0 0 1 0 5
4 2 0 2 0 0 0 2
4 2 0 1 1 0 0 1
4 2 0 1 0 1 0 3
4 2 1 0 0 0 0 36
4 2 2 0 0 0 0 68
4 2 2 0 0 1 0 1
4 2 2 0 0 0 1 1
4 3 0 0 0 0 0 99
4 3 0 1 0 0 0 1
4 3 0 0 0 1 0 4
4 3 1 0 0 0 0 49
4 3 1 2 0 1 0 1
4 3 1 1 0 1 1 1
4 4 0 0 0 0 0 178
4 4 0 1 0 0 0 1
4 4 0 0 0 1 0 4
5 0 1 0 0 0 0 121
5 0 1 0 0 0 1 1
5 0 2 0 0 0 0 70
5 0 2 0 0 0 1 1
5 0 2 0 0 0 2 1
5 0 3 0 0 0 0 16
5 0 4 0 0 0 0 8
5 0 5 0 0 0 0 17
5 1 0 0 0 0 0 53
5 1 0 0 0 1 0 1
5 1 1 0 0 0 0 29
5 1 2 0 0 0 0 9
5 1 3 0 0 0 0 5
5 1 4 0 0 0 0 6
5 2 0 0 0 0 0 195
5 2 0 0 0 1 0 1
5 2 0 2 0 0 0 1
5 2 1 0 0 0 0 31
5 2 1 0 1 0 0 1
5 2 2 0 0 0 0 10
5 2 3 0 0 0 0 31
5 2 3 0 0 1 0 1
5 2 3 0 0 0 1 1
5 3 0 0 0 0 0 68
5 3 0 0 0 1 0 3
5 3 0 3 0 0 0 1
5 3 1 0 0 0 0 17
5 3 1 2 0 0 0 1
5 3 2 0 0 0 0 22
5 4 0 0 0 0 0 62
5 4 0 0 0 1 0 2
5 4 1 0 0 0 0 27
5 4 1 0 0 1 0 2
5 5 0 0 0 0 0 69
5 5 0 1 0 0 0 2
5 5 0 0 0 1 0 1
6 0 1 0 0 0 0 77
6 0 1 0 0 0 1 1
6 0 2 0 0 0 0 40
6 0 3 0 0 0 0 13
6 0 3 0 0 0 2 1
6 0 4 0 0 0 0 10
6 0 5 0 0 0 0 4
6 0 6 0 0 0 0 13
6 1 0 0 0 0 0 29
6 1 1 0 0 0 0 20
6 1 2 0 0 0 0 2
6 1 3 0 0 0 0 1
6 1 4 0 0 0 0 1
6 1 5 0 0 0 0 6
6 2 0 0 0 0 0 105
6 2 0 0 0 1 0 3
6 2 1 0 0 0 0 8
6 2 2 0 0 0 0 7
6 2 3 0 0 0 0 4
6 2 3 0 0 0 1 1
6 2 4 0 0 0 0 14
6 3 0 0 0 0 0 40
6 3 0 0 1 0 0 1
6 3 1 0 0 0 0 10
6 3 2 0 0 0 0 4
6 3 3 0 0 0 0 11
6 4 0 0 0 0 0 54
6 4 0 0 0 1 0 2
6 4 0 3 1 0 0 1
6 4 1 0 0 0 0 12
6 4 1 1 0 1 1 1
6 4 2 0 0 0 0 14
6 5 0 0 0 0 0 27
6 5 0 0 0 1 0 1
6 5 1 0 0 0 0 11
6 5 1 4 0 1 1 1
6 6 0 0 0 0 0 17
7 0 1 0 0 0 0 41
7 0 1 0 0 0 1 1
7 0 2 0 0 0 0 25
7 0 3 0 0 0 0 3
7 0 4 0 0 0 0 2
7 0 5 0 0 0 0 2
7 0 6 0 0 0 0 1
7 0 6 0 0 0 1 1
7 0 7 0 0 0 0 3
7 1 0 0 0 0 0 8
7 1 0 1 0 0 0 1
7 1 0 0 1 0 0 1
7 1 1 0 0 0 0 6
7 1 2 0 0 0 0 3
7 1 3 0 0 0 0 2
7 2 0 0 0 0 0 38
7 2 1 0 0 0 0 5
7 2 2 0 0 0 0 3
7 2 3 0 0 0 0 1
7 2 4 0 0 0 0 2
7 2 5 0 0 0 0 4
7 3 0 0 0 0 0 23
7 3 1 0 0 0 0 3
7 3 3 0 0 0 0 2
7 3 4 0 0 0 0 1
7 4 0 0 0 0 0 23
7 4 1 0 0 0 0 6
7 4 3 0 0 0 0 5
7 5 0 0 0 0 0 11
7 5 0 1 0 0 0 1
7 5 0 0 0 1 0 1
7 5 1 0 0 0 0 3
7 5 2 0 0 0 0 6
7 6 0 0 0 0 0 8
7 6 1 0 0 0 0 8
7 7 0 0 0 0 0 4
8 0 1 0 0 0 0 17
8 0 2 0 0 0 0 3
8 0 3 0 0 0 0 1
8 0 4 0 0 0 0 3
8 0 5 0 0 0 0 3
8 0 6 0 0 0 0 1
8 0 8 0 0 0 0 2
8 1 0 0 0 0 0 5
8 1 1 0 0 0 0 1
8 1 2 0 0 0 0 1
8 2 0 0 0 0 0 9
8 2 1 0 0 0 0 1
8 2 6 0 0 0 0 1
8 2 6 0 0 1 0 1
8 3 0 0 0 0 0 8
8 3 1 0 0 0 0 1
8 3 4 0 0 0 1 1
8 3 5 0 0 0 0 1
8 4 0 0 0 0 0 5
8 4 1 0 0 0 0 2
8 4 3 0 0 0 0 1
8 4 4 0 0 0 0 2
8 5 0 0 0 0 0 5
8 5 0 0 0 1 0 1
8 5 1 0 0 0 0 1
8 5 2 0 0 0 0 3
8 5 3 0 0 0 0 2
8 6 0 0 0 0 0 3
8 7 0 0 0 0 0 1
8 7 1 0 0 0 0 1
9 0 1 0 0 0 0 11
9 0 2 0 0 0 0 4
9 0 3 0 0 0 0 1
9 0 5 0 0 0 0 1
9 1 0 0 0 0 0 1
9 2 0 0 0 0 0 1
9 2 1 0 0 0 0 1
9 2 1 0 2 0 0 1
9 2 2 0 0 0 0 1
9 3 0 0 0 0 0 4
9 3 1 0 0 0 0 1
9 3 3 0 0 0 0 1
9 3 6 0 0 0 0 2
9 4 0 0 0 0 0 3
9 4 1 0 0 0 0 2
9 4 3 0 0 0 0 2
9 5 0 0 0 0 0 3
9 5 1 0 0 1 0 1
9 5 2 0 0 0 0 1
9 5 4 0 0 0 0 1
9 6 0 0 0 0 0 2
9 6 1 0 0 0 0 1
9 7 0 0 0 0 0 1
9 7 0 0 1 0 0 1
9 7 2 0 0 0 0 1
9 8 0 0 0 0 0 1
10 0 1 0 0 0 0 3
10 0 1 0 0 0 1 1
10 0 4 0 0 0 0 1
10 0 5 0 0 0 0 2
10 2 0 0 0 0 0 1
10 2 1 0 0 0 0 2
10 3 0 0 0 0 0 1
10 4 1 0 0 0 0 1
10 4 6 0 0 0 0 1
10 5 0 0 0 0 0 2
10 5 3 0 1 0 0 1
10 6 1 0 0 0 0 1
11 0 1 0 0 0 0 2
11 1 0 0 0 0 0 1
11 2 2 0 0 0 0 1
11 3 2 0 0 0 0 1
11 6 0 0 0 0 0 1
11 10 0 0 0 0 0 1
